review_status,id,web_name,ques,task_family,template,capabilities,slots,interaction_type,answer_type,requires_login,live_web_risk,confidence,notes
pending,Allrecipes--10,Allrecipes,"Find The Most Popular Recipes of the 1960s, noting the recipe name, preparation time and total time of the second recipe in this collection.",editorial_collection_lookup,find editorial collection {collection} and report fields for item at {position},"[""search"", ""open_collection"", ""select_by_position"", ""extract_fields""]","{""query_text"": ""Find The Most Popular Recipes of the 1960s, noting the recipe name, preparation time and total time of the second recipe in this collection."", ""constraints"": [""1960""], ""entities_or_request"": ""Find The Most Popular Recipes of the 1960s, noting the recipe name, preparation time and total time of the second recipe in this collection.""}","[""retrieve"", ""navigate""]",structured_record,False,medium,0.84,
pending,Allrecipes--11,Allrecipes,Discover a suitable chocolate cupcake recipe on Allrecipes that has a preparation time of under 1 hour and at least 100 user reviews.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Discover a suitable chocolate cupcake recipe on Allrecipes that has a preparation time of under 1 hour and at least 100 user reviews."", ""constraints"": [""1 hour"", ""100"", ""over a suitable chocolate cupcake recipe on Allrecipes that has a preparation time of under 1 hour and at least 100 user reviews""], ""entities_or_request"": ""Discover a suitable chocolate cupcake recipe on Allrecipes that has a preparation time of under 1 hour and at least 100 user reviews.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--12,Allrecipes,Search for a popular cookie recipe on Allrecipes with more than 1000 reviews and a rating of 4.5 stars or better. Provide the list of ingredients needed.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Search for a popular cookie recipe on Allrecipes with more than 1000 reviews and a rating of 4.5 stars or better. Provide the list of ingredients needed."", ""constraints"": [""1000 reviews"", ""4.5 stars"", ""more than 1000 reviews and a rating of 4""], ""entities_or_request"": ""Search for a popular cookie recipe on Allrecipes with more than 1000 reviews and a rating of 4.5 stars or better. Provide the list of ingredients needed.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--13,Allrecipes,"Find a recipe with over 100 reviews for Fried Fish on Allrecipes, list the Full Nutrition Label and tell me the amount of Iron per Serving.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {nutrition}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_nutrition""]","{""query_text"": ""Find a recipe with over 100 reviews for Fried Fish on Allrecipes, list the Full Nutrition Label and tell me the amount of Iron per Serving."", ""constraints"": [""100 reviews"", ""over 100 reviews for Fried Fish on Allrecipes""], ""entities_or_request"": ""Find a recipe with over 100 reviews for Fried Fish on Allrecipes, list the Full Nutrition Label and tell me the amount of Iron per Serving.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--14,Allrecipes,"Search for a recipe that includes ""chicken breast"" and ""quinoa"" with preparation time under 30 minutes on Allrecipes.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Search for a recipe that includes \""chicken breast\"" and \""quinoa\"" with preparation time under 30 minutes on Allrecipes."", ""constraints"": [""30 minutes"", ""under 30 minutes on Allrecipes""], ""entities_or_request"": ""Search for a recipe that includes \""chicken breast\"" and \""quinoa\"" with preparation time under 30 minutes on Allrecipes.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--15,Allrecipes,"Choose a dessert recipe on Allrecipes with a prep time of less than 30 minutes, has chocolate as an ingredient, and has a user rating of 4 stars or higher. Provide the name of the recipe, ingredients list, and step-by-step instructions.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Choose a dessert recipe on Allrecipes with a prep time of less than 30 minutes, has chocolate as an ingredient, and has a user rating of 4 stars or higher. Provide the name of the recipe, ingredients list, and step-by-step instructions."", ""constraints"": [""30 minutes"", ""4 stars"", ""less than 30 minutes""], ""entities_or_request"": ""Choose a dessert recipe on Allrecipes with a prep time of less than 30 minutes, has chocolate as an ingredient, and has a user rating of 4 stars or higher. Provide the name of the recipe, ingredients list, and step-by-step instructions.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--16,Allrecipes,Find a five-star rated chocolate chip cookie recipe that takes less than 1 hour to make on Allrecipes. Note how many reviews the recipe has and the main ingredients required.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Find a five-star rated chocolate chip cookie recipe that takes less than 1 hour to make on Allrecipes. Note how many reviews the recipe has and the main ingredients required."", ""constraints"": [""1 hour"", ""rated chocolate chip cookie recipe that takes less than 1 hour to make on Allrecipes""], ""entities_or_request"": ""Find a five-star rated chocolate chip cookie recipe that takes less than 1 hour to make on Allrecipes. Note how many reviews the recipe has and the main ingredients required.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--17,Allrecipes,Find the Easy Vegetarian Spinach Lasagna recipe on Allrecipes and tell me what the latest review says.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {review}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_review""]","{""query_text"": ""Find the Easy Vegetarian Spinach Lasagna recipe on Allrecipes and tell me what the latest review says."", ""constraints"": [], ""entities_or_request"": ""Find the Easy Vegetarian Spinach Lasagna recipe on Allrecipes and tell me what the latest review says.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,very_high,0.84,动态内容/日期/库存/页面状态可能导致 live-web 漂移；split 可用，但执行结果需单独审查。
pending,Allrecipes--18,Allrecipes,Find a recipe for a vegetarian lasagna that has over 300 reviews and an average rating of 4.5 or higher on Allrecipes.,recipe_search,find a recipe matching {dish_and_constraints},"[""search"", ""evaluate_constraints"", ""select_result""]","{""query_text"": ""Find a recipe for a vegetarian lasagna that has over 300 reviews and an average rating of 4.5 or higher on Allrecipes."", ""constraints"": [""300 reviews"", ""4.5"", ""over 300 reviews and an average rating of 4""], ""entities_or_request"": ""Find a recipe for a vegetarian lasagna that has over 300 reviews and an average rating of 4.5 or higher on Allrecipes.""}","[""retrieve"", ""filter_sort"", ""navigate""]",entity,False,high,0.84,
pending,Allrecipes--19,Allrecipes,Find a vegan lasagna recipe on Allrecipes that requires 10 ingredients or less and has feedback of more than 200 reviews. Provide a brief overview of the ingredient list and the total prep and cook time.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Find a vegan lasagna recipe on Allrecipes that requires 10 ingredients or less and has feedback of more than 200 reviews. Provide a brief overview of the ingredient list and the total prep and cook time."", ""constraints"": [""10"", ""200 reviews"", ""more than 200 reviews""], ""entities_or_request"": ""Find a vegan lasagna recipe on Allrecipes that requires 10 ingredients or less and has feedback of more than 200 reviews. Provide a brief overview of the ingredient list and the total prep and cook time.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--20,Allrecipes,Find a recipe for a cauliflower pizza crust that has a preparation time of under 30 minutes and a rating of at least 4 stars on Allrecipes. Include the number of calories per serving.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {nutrition+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_nutrition"", ""extract_time""]","{""query_text"": ""Find a recipe for a cauliflower pizza crust that has a preparation time of under 30 minutes and a rating of at least 4 stars on Allrecipes. Include the number of calories per serving."", ""constraints"": [""30 minutes"", ""4 stars"", ""under 30 minutes and a rating of at least 4 stars on Allrecipes""], ""entities_or_request"": ""Find a recipe for a cauliflower pizza crust that has a preparation time of under 30 minutes and a rating of at least 4 stars on Allrecipes. Include the number of calories per serving.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--21,Allrecipes,Locate a high-rated recipe for gluten-free brownies on Allrecipes with at least 50 reviews. List the main ingredients and the total time required for preparation and cooking.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Locate a high-rated recipe for gluten-free brownies on Allrecipes with at least 50 reviews. List the main ingredients and the total time required for preparation and cooking."", ""constraints"": [""50 reviews"", ""rated recipe for gluten-free brownies on Allrecipes with at least 50 reviews""], ""entities_or_request"": ""Locate a high-rated recipe for gluten-free brownies on Allrecipes with at least 50 reviews. List the main ingredients and the total time required for preparation and cooking.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--22,Allrecipes,Find a recipe for a healthy avocado salad on Allrecipes that has a preparation time of less than 20 minutes and more than 30 user reviews. Include the nutritional information per serving.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {nutrition+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_nutrition"", ""extract_time""]","{""query_text"": ""Find a recipe for a healthy avocado salad on Allrecipes that has a preparation time of less than 20 minutes and more than 30 user reviews. Include the nutritional information per serving."", ""constraints"": [""20 minutes"", ""30"", ""less than 20 minutes and more than 30 user reviews""], ""entities_or_request"": ""Find a recipe for a healthy avocado salad on Allrecipes that has a preparation time of less than 20 minutes and more than 30 user reviews. Include the nutritional information per serving.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--23,Allrecipes,"Search Allrecipes for a baked lemon chicken recipe that has a prep time under 45 minutes, with at least a 4.5-star rating based on user reviews, and over 200 reviews. List the primary ingredients required.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Search Allrecipes for a baked lemon chicken recipe that has a prep time under 45 minutes, with at least a 4.5-star rating based on user reviews, and over 200 reviews. List the primary ingredients required."", ""constraints"": [""45 minutes"", ""4.5"", ""200 reviews"", ""under 45 minutes"", ""at least a 4"", ""over 200 reviews""], ""entities_or_request"": ""Search Allrecipes for a baked lemon chicken recipe that has a prep time under 45 minutes, with at least a 4.5-star rating based on user reviews, and over 200 reviews. List the primary ingredients required.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--24,Allrecipes,Locate a recipe for an eggplant Parmesan on Allrecipes with a rating of at least 4.5 stars and over 50 reviews. Include the preparation time and the number of servings provided by the recipe.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Locate a recipe for an eggplant Parmesan on Allrecipes with a rating of at least 4.5 stars and over 50 reviews. Include the preparation time and the number of servings provided by the recipe."", ""constraints"": [""4.5 stars"", ""50 reviews"", ""at least 4"", ""over 50 reviews""], ""entities_or_request"": ""Locate a recipe for an eggplant Parmesan on Allrecipes with a rating of at least 4.5 stars and over 50 reviews. Include the preparation time and the number of servings provided by the recipe.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--25,Allrecipes,Find a popular quinoa salad recipe on Allrecipes with more than 500 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe and include the total cooking and preparation time.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Find a popular quinoa salad recipe on Allrecipes with more than 500 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe and include the total cooking and preparation time."", ""constraints"": [""500 reviews"", ""4 stars"", ""more than 500 reviews and a rating above 4 stars""], ""entities_or_request"": ""Find a popular quinoa salad recipe on Allrecipes with more than 500 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe and include the total cooking and preparation time.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--26,Allrecipes,"Search for a high-protein vegetarian chili recipe on Allrecipes that has at least 50 reviews and a rating of 4 stars or higher. Provide the ingredient list, cooking time, and a brief description of the cooking steps.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Search for a high-protein vegetarian chili recipe on Allrecipes that has at least 50 reviews and a rating of 4 stars or higher. Provide the ingredient list, cooking time, and a brief description of the cooking steps."", ""constraints"": [""50 reviews"", ""4 stars"", ""at least 50 reviews and a rating of 4 stars or higher""], ""entities_or_request"": ""Search for a high-protein vegetarian chili recipe on Allrecipes that has at least 50 reviews and a rating of 4 stars or higher. Provide the ingredient list, cooking time, and a brief description of the cooking steps.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--27,Allrecipes,"Locate a chicken curry recipe on Allrecipes that has been reviewed more than 30 times and has a rating of at least 4 stars. Provide a summary of the recipe including ingredients, preparation time, and cooking instructions.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Locate a chicken curry recipe on Allrecipes that has been reviewed more than 30 times and has a rating of at least 4 stars. Provide a summary of the recipe including ingredients, preparation time, and cooking instructions."", ""constraints"": [""30"", ""4 stars"", ""more than 30 times and has a rating of at least 4 stars""], ""entities_or_request"": ""Locate a chicken curry recipe on Allrecipes that has been reviewed more than 30 times and has a rating of at least 4 stars. Provide a summary of the recipe including ingredients, preparation time, and cooking instructions.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--28,Allrecipes,"On Allrecipes, find a vegan brownie recipe that has at least 40 reviews and a rating of 4.5 or higher. Include the list of ingredients, total prep and cook time, and a brief overview of the preparation steps.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""On Allrecipes, find a vegan brownie recipe that has at least 40 reviews and a rating of 4.5 or higher. Include the list of ingredients, total prep and cook time, and a brief overview of the preparation steps."", ""constraints"": [""40 reviews"", ""4.5"", ""at least 40 reviews and a rating of 4""], ""entities_or_request"": ""On Allrecipes, find a vegan brownie recipe that has at least 40 reviews and a rating of 4.5 or higher. Include the list of ingredients, total prep and cook time, and a brief overview of the preparation steps.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--29,Allrecipes,"Search for a Mediterranean-style grilled fish recipe on Allrecipes that includes ingredients like olives, has at least a 4-star rating, and more than 25 reviews. Detail the ingredients, cooking method, and total time required for preparation and cooking.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Search for a Mediterranean-style grilled fish recipe on Allrecipes that includes ingredients like olives, has at least a 4-star rating, and more than 25 reviews. Detail the ingredients, cooking method, and total time required for preparation and cooking."", ""constraints"": [""4"", ""25 reviews"", ""at least a 4-star rating"", ""more than 25 reviews""], ""entities_or_request"": ""Search for a Mediterranean-style grilled fish recipe on Allrecipes that includes ingredients like olives, has at least a 4-star rating, and more than 25 reviews. Detail the ingredients, cooking method, and total time required for preparation and cooking.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--30,Allrecipes,"Find a recipe for a vegan smoothie bowl on Allrecipes that includes bananas and leaves, has more than 20 reviews, and a rating of at least 4 stars. Provide a list of ingredients, preparation time, and a summary of the recipe steps.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Find a recipe for a vegan smoothie bowl on Allrecipes that includes bananas and leaves, has more than 20 reviews, and a rating of at least 4 stars. Provide a list of ingredients, preparation time, and a summary of the recipe steps."", ""constraints"": [""20 reviews"", ""4 stars"", ""more than 20 reviews"", ""at least 4 stars""], ""entities_or_request"": ""Find a recipe for a vegan smoothie bowl on Allrecipes that includes bananas and leaves, has more than 20 reviews, and a rating of at least 4 stars. Provide a list of ingredients, preparation time, and a summary of the recipe steps.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--31,Allrecipes,"Search for a seafood paella recipe on Allrecipes with a minimum of 4.5 stars rating and at least 50 reviews. The recipe should include shrimp and mussels. Provide the ingredients, total time, and an overview of the preparation steps.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Search for a seafood paella recipe on Allrecipes with a minimum of 4.5 stars rating and at least 50 reviews. The recipe should include shrimp and mussels. Provide the ingredients, total time, and an overview of the preparation steps."", ""constraints"": [""4.5 stars"", ""50 reviews"", ""minimum of 4"", ""at least 50 reviews""], ""entities_or_request"": ""Search for a seafood paella recipe on Allrecipes with a minimum of 4.5 stars rating and at least 50 reviews. The recipe should include shrimp and mussels. Provide the ingredients, total time, and an overview of the preparation steps.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--32,Allrecipes,Find a high-rated beef stew recipe on Allrecipes that requires a slow cooker and has at least 30 reviews. Detail the cooking time and the first five ingredients listed in the recipe.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Find a high-rated beef stew recipe on Allrecipes that requires a slow cooker and has at least 30 reviews. Detail the cooking time and the first five ingredients listed in the recipe."", ""constraints"": [""30 reviews"", ""rated beef stew recipe on Allrecipes that requires a slow cooker and has at least 30 reviews""], ""entities_or_request"": ""Find a high-rated beef stew recipe on Allrecipes that requires a slow cooker and has at least 30 reviews. Detail the cooking time and the first five ingredients listed in the recipe.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--33,Allrecipes,Find a recipe for a low-carb breakfast on Allrecipes with at least 25 reviews. Show the Nutrition Facts and the total carbohydrate content per serving.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {nutrition}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_nutrition""]","{""query_text"": ""Find a recipe for a low-carb breakfast on Allrecipes with at least 25 reviews. Show the Nutrition Facts and the total carbohydrate content per serving."", ""constraints"": [""25 reviews"", ""at least 25 reviews""], ""entities_or_request"": ""Find a recipe for a low-carb breakfast on Allrecipes with at least 25 reviews. Show the Nutrition Facts and the total carbohydrate content per serving.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--34,Allrecipes,Locate a baked salmon recipe on Allrecipes that has at least 50 reviews and a rating of 4.5 stars or higher. Note the primary seasoning or herb used and the estimated cooking time.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Locate a baked salmon recipe on Allrecipes that has at least 50 reviews and a rating of 4.5 stars or higher. Note the primary seasoning or herb used and the estimated cooking time."", ""constraints"": [""50 reviews"", ""4.5 stars"", ""at least 50 reviews and a rating of 4""], ""entities_or_request"": ""Locate a baked salmon recipe on Allrecipes that has at least 50 reviews and a rating of 4.5 stars or higher. Note the primary seasoning or herb used and the estimated cooking time.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--35,Allrecipes,Search for an Italian-style meatball recipe on Allrecipes that has more than 100 reviews. Detail the type of meat used and the overall cooking time required.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Search for an Italian-style meatball recipe on Allrecipes that has more than 100 reviews. Detail the type of meat used and the overall cooking time required."", ""constraints"": [""100 reviews"", ""more than 100 reviews""], ""entities_or_request"": ""Search for an Italian-style meatball recipe on Allrecipes that has more than 100 reviews. Detail the type of meat used and the overall cooking time required.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
